title,distance,prices
2013 Maruti Suzuki Ertiga VDi,"48,000 km  |  Diesel  |  Mumbai",Rs. 5.95 Lakh
2022 Mahindra XUV700 AX 7 Petrol AT Luxury Pack 7 STR [2021],"7,900 km  |  Petrol  |  Mumbai",Rs. 26.95 Lakh
2022 Tata Harrier XZA Plus,"13,500 km  |  Diesel  |  Mumbai",Rs. 22.9 Lakh
2014 Maruti Suzuki Ertiga Vxi CNG,"75,000 km  |  CNG  |  Mumbai",Rs. 6.75 Lakh
2016 Maruti Suzuki Ertiga VXI,"58,472 km  |  Petrol  |  Mumbai",Rs. 6.55 Lakh
2022 Tata Nexon EV XZ Plus,"9,800 km  |  Electric  |  Mumbai",Rs. 13.9 Lakh
2017 Skoda Kodiaq Style 2.0 TDI 4x4 AT,"66,492 km  |  Diesel  |  Mumbai",Rs. 23.99 Lakh
2017 Tata Hexa XTA 4x2 7 STR,"60,000 km  |  Diesel  |  Mumbai",Rs. 12.75 Lakh
2023 Mahindra XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR [2021],"14,000 km  |  Diesel  |  Mumbai",Rs. 29.75 Lakh
2022 MG Hector Sharp 1.5 Petrol CVT,"25,000 km  |  Petrol  |  Mumbai",Rs. 18.75 Lakh
2020 BMW 3 Series 330i Sport Line,"26,000 km  |  Petrol  |  Mumbai",Rs. 38.45 Lakh
2014 Maruti Suzuki Ertiga Vxi CNG,"49,648 km  |  CNG  |  Mumbai",Rs. 6.99 Lakh
2022 Tata Harrier XT [2019-2020],"25,000 km  |  Diesel  |  Mumbai",Rs. 17.95 Lakh
2019 Mercedes-Benz GLA 200 Sport,"25,000 km  |  Petrol  |  Mumbai",Rs. 27.5 Lakh
2021 MG Hector Shine 1.5 Petrol Turbo CVT,"25,000 km  |  Petrol  |  Mumbai",Rs. 18.9 Lakh
2023 Mahindra XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR [2021],"10,000 km  |  Diesel  |  Mumbai",Rs. 28.75 Lakh
2018 Honda CR-V 1.6 AWD Diesel AT,"56,000 km  |  Diesel  |  Mumbai",Rs. 22.75 Lakh
2020 Land Rover Discovery Sport SE R-Dynamic,"28,352 km  |  Diesel  |  Mumbai",Rs. 65 Lakh
2022 MG Hector Sharp 2.0 Diesel Turbo MT,"12,900 km  |  Diesel  |  Mumbai",Rs. 19.25 Lakh
2021 Jeep Compass 80 Anniversary 1.4 Petrol DCT,"31,000 km  |  Petrol  |  Mumbai",Rs. 20.95 Lakh
2022 Tata Nexon EV XZ Plus Dark Edition,"3,900 km  |  Electric  |  Mumbai",Rs. 14.95 Lakh
2018 Mercedes-Benz GLA 200 Sport,"20,000 km  |  Petrol  |  Mumbai",Rs. 24.75 Lakh
2022 Mahindra XUV700 AX 7 Petrol AT 7 STR [2021],"34,000 km  |  Petrol  |  Mumbai",Rs. 22.9 Lakh
2022 Tata Nexon EV XZ Plus,"22,250 km  |  Electric  |  Mumbai",Rs. 12.91 Lakh
2017 Tata Hexa XTA 4x2 7 STR,"60,000 km  |  Diesel  |  Mumbai",Rs. 12.75 Lakh
2022 Mahindra XUV700 AX 7 Diesel AT 7 STR [2021],"8,500 km  |  Diesel  |  Mumbai",Rs. 26.95 Lakh
2022 Skoda Kodiaq L&K [2022],"23,100 km  |  Petrol  |  Mumbai",Rs. 36.95 Lakh
2020 Land Rover Range Rover Evoque SE R-Dynamic Diesel [2022-2023],"22,373 km  |  Diesel  |  Mumbai",Rs. 60.5 Lakh
2020 Land Rover Range Rover Evoque SE R-Dynamic,"9,063 km  |  Diesel  |  Mumbai",Rs. 63.75 Lakh
2014 Toyota Fortuner 4x2 AT,"77,200 km  |  Diesel  |  Mumbai",Rs. 16.25 Lakh
2020 Tata Nexon EV XZ Plus LUX,"16,000 km  |  Electric  |  Mumbai",Rs. 13.5 Lakh
2022 Tata Nexon EV XZ Plus,"9,800 km  |  Electric  |  Mumbai",Rs. 13.9 Lakh
2022 Mahindra XUV700 AX 7 Petrol AT 7 STR [2021],"34,000 km  |  Petrol  |  Mumbai",Rs. 22.9 Lakh
2018 Skoda Octavia 1.8 TSI L&K,"39,000 km  |  Petrol  |  Mumbai",Rs. 16.9 Lakh
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],"32,000 km  |  Petrol  |  Mumbai",Rs. 12.9 Lakh
2022 Tata Nexon EV XZ Plus,"16,600 km  |  Electric  |  Mumbai",Rs. 14.5 Lakh
2013 Mahindra XUV500 W8 [2015-2017],"80,000 km  |  Diesel  |  Mumbai",Rs. 5.75 Lakh
2022 Mahindra XUV700 AX 7 Diesel MT Luxury Pack 7 STR [2021],"25,184 km  |  Diesel  |  Mumbai",Rs. 24.9 Lakh
2018 Toyota Innova Crysta 2.4 VX 8 STR [2016-2020],"76,105 km  |  Diesel  |  Mumbai",Rs. 18.75 Lakh
2016 Hyundai Creta 1.6 SX Plus AT Petrol,"38,632 km  |  Petrol  |  Mumbai",Rs. 9.75 Lakh
2017 Maruti Suzuki Ciaz Delta 1.4 MT,"42,179 km  |  Petrol  |  Mumbai",Rs. 6.7 Lakh
2015 Hyundai Elite i20 Asta 1.2,"56,595 km  |  Petrol  |  Mumbai",Rs. 4.95 Lakh
2016 Ford EcoSport Titanium 1.5L TDCi,"54,619 km  |  Diesel  |  Mumbai",Rs. 6.95 Lakh
2018 Maruti Suzuki Celerio X Zxi [2017-2019],"39,241 km  |  Petrol  |  Mumbai",Rs. 5.25 Lakh
2019 Honda City VX CVT,"36,128 km  |  Petrol  |  Mumbai",Rs. 10.21 Lakh
2017 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"79,915 km  |  Diesel  |  Mumbai",Rs. 18.4 Lakh
2015 Hyundai Elite i20 Asta 1.2,"55,282 km  |  Petrol  |  Mumbai",Rs. 4.8 Lakh
2016 Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],"66,464 km  |  Petrol  |  Mumbai",Rs. 5.25 Lakh
2020 Toyota Innova Crysta 2.4 G 8 STR [2016-2017],"42,834 km  |  Diesel  |  Mumbai",Rs. 22.5 Lakh
2017 Maruti Suzuki Ignis Alpha 1.2 MT,"64,671 km  |  Petrol  |  Mumbai",Rs. 5.25 Lakh
2019 Maruti Suzuki Ertiga ZXi Plus,"30,900 km  |  Petrol  |  Mumbai",Rs. 9.75 Lakh
2016 Maruti Suzuki Baleno Delta 1.2 AT,"45,367 km  |  Petrol  |  Mumbai",Rs. 6.35 Lakh
2017 Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],"35,131 km  |  Petrol  |  Mumbai",Rs. 4.95 Lakh
2016 Maruti Suzuki Celerio ZXi AMT [2019-2020],"28,163 km  |  Petrol  |  Mumbai",Rs. 4.75 Lakh
2017 Maruti Suzuki Ertiga VXI CNG,"45,732 km  |  CNG + 1  |  Mumbai",Rs. 8.75 Lakh
