title,distance,prices
2019 Mahindra XUV300 W8 (O) 1.5 Diesel AMT,"38,556 km  |  Diesel  |  Mumbai",Rs. 11.99 Lakh
2019 Hyundai Elite i20 Sportz 1.2,"19,064 km  |  Petrol  |  Mumbai",Rs. 7.5 Lakh
2019 Hyundai Creta SX 1.6 (O) Petrol,"16,939 km  |  Petrol  |  Mumbai",Rs. 12.95 Lakh
2021 Honda WR-V VX MT Diesel,"27,097 km  |  Diesel  |  Mumbai",Rs. 10.95 Lakh
2018 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],"29,357 km  |  Petrol  |  Mumbai",Rs. 17.51 Lakh
2021 Hyundai Venue SX 1.0 Turbo,"18,470 km  |  Petrol  |  Mumbai",Rs. 10.75 Lakh
2022 Hyundai Creta Facelift 1.5 Petrol CVT,"15,557 km  |  Petrol  |  Mumbai",Rs. 17.25 Lakh
2017 Mahindra XUV500 W6 AT,"44,164 km  |  Diesel  |  Mumbai",Rs. 9.75 Lakh
2014 Honda City VX,"88,901 km  |  Petrol  |  Mumbai",Rs. 5.35 Lakh
2022 Honda City 4th Generation V CVT Petrol,"30,549 km  |  Petrol  |  Mumbai",Rs. 12.85 Lakh
2022 Mercedes-Benz GLC 200 Progressive,"14,532 km  |  Petrol  |  Mumbai",Rs. 65 Lakh
2019 Honda Amaze 1.2 V MT Petrol [2018-2020],"15,137 km  |  Petrol  |  Mumbai",Rs. 7.25 Lakh
2021 Hyundai i20 Asta (O) 1.0 Turbo DCT [2020-2023],"7,457 km  |  Petrol  |  Mumbai",Rs. 11.45 Lakh
2018 Maruti Suzuki Vitara Brezza ZDi Plus AGS,"35,000 km  |  Diesel  |  Mumbai",Rs. 9.21 Lakh
2020 Jeep Compass Trailhawk (O) 2.0 4x4,"16,788 km  |  Diesel  |  Mumbai",Rs. 24.95 Lakh
2018 Renault Duster 110 PS RxZ AWD,"31,823 km  |  Diesel  |  Mumbai",Rs. 8.99 Lakh
2017 Hyundai Xcent S AT,"56,269 km  |  Petrol  |  Mumbai",Rs. 5.5 Lakh
2016 Honda Jazz V AT Petrol,"67,594 km  |  Petrol  |  Mumbai",Rs. 5.75 Lakh
2015 Ford EcoSport Titanium 1.5L Ti-VCT AT,"63,417 km  |  Petrol  |  Mumbai",Rs. 5.89 Lakh
2019 Hyundai Grand i10 Sportz AT 1.2 Kappa VTVT,"32,704 km  |  Petrol  |  Mumbai",Rs. 5.75 Lakh
2015 Maruti Suzuki Ciaz ZXi  AT,"70,038 km  |  Petrol  |  Mumbai",Rs. 5.95 Lakh
2017 Honda WR-V S MT Petrol,"69,530 km  |  Petrol  |  Mumbai",Rs. 6.25 Lakh
2019 Honda City 4th Generation ZX CVT Petrol [2017-2019],"38,428 km  |  Petrol  |  Mumbai",Rs. 10.85 Lakh
