title,distance,prices
2018 Hyundai Creta SX 1.6 AT Petrol,"41,013 km  |  Petrol  |  Hyderabad",Rs. 13 Lakh
2018 Jeep Compass Limited 2.0 Diesel [2017-2020],"57,462 km  |  Diesel  |  Hyderabad",Rs. 16 Lakh
2021 Maruti Suzuki Baleno Zeta,"25,677 km  |  Petrol  |  Hyderabad",Rs. 7.5 Lakh
2020 Kia Seltos GTX Plus 1.4 [2020-2021],"46,611 km  |  Petrol  |  Hyderabad",Rs. 17.5 Lakh
2021 Isuzu D-Max Hi-Lander [2021],"32,187 km  |  Diesel  |  Hyderabad",Rs. 21 Lakh
2014 Hyundai Santa Fe 4 WD,"1,09,296 km  |  Diesel  |  Hyderabad",Rs. 14 Lakh
2016 Mercedes-Benz CLA 200 CDI Sport,"53,346 km  |  Diesel  |  Hyderabad",Rs. 25 Lakh
2018 Volvo XC40 Inscription,"42,076 km  |  Diesel  |  Hyderabad",Rs. 36 Lakh
2018 Porsche Macan Turbo,"63,339 km  |  Petrol  |  Hyderabad",Rs. 69.5 Lakh
2017 Maruti Suzuki Alto K10 VXi (O) [2014-2019],"30,762 km  |  Petrol  |  Hyderabad",Rs. 3.9 Lakh
2021 Mahindra Thar LX Convertible Diesel AT,"15,878 km  |  Diesel  |  Hyderabad",Rs. 16.5 Lakh
2018 Honda City V,"49,000 km  |  Petrol  |  Hyderabad",Rs. 8.5 Lakh
2019 Hyundai Elite i20 Asta 1.2 (O) CVT [2019-2020],"18,600 km  |  Petrol  |  Hyderabad",Rs. 9.5 Lakh
2019 Volkswagen Polo GT TSI,"27,632 km  |  Petrol  |  Hyderabad",Rs. 10.25 Lakh
2018 Hyundai Creta 1.6 SX Plus AT Petrol,"9,706 km  |  Petrol  |  Hyderabad",Rs. 13.5 Lakh
2018 Jaguar XF Prestige Diesel CBU,"48,335 km  |  Diesel  |  Hyderabad",Rs. 36 Lakh
2022 Honda New Jazz V,"9,951 km  |  Petrol  |  Hyderabad",Rs. 8.45 Lakh
2022 Toyota Fortuner Legender 4X2 AT 2.8 Legender,"34,894 km  |  Diesel  |  Hyderabad",Rs. 50 Lakh
2022 Kia Seltos HTK Plus 1.5 Diesel,"18,500 km  |  Diesel  |  Hyderabad",Rs. 16.5 Lakh
2017 Maruti Suzuki S-Cross Alpha 1.3,"42,990 km  |  Diesel  |  Hyderabad",Rs. 10 Lakh
2021 Kia Carnival Prestige 7 STR,"30,982 km  |  Diesel  |  Hyderabad",Rs. 33.5 Lakh
2016 Maruti Suzuki Vitara Brezza ZDi,"47,320 km  |  Diesel  |  Hyderabad",Rs. 9 Lakh
2019 Land Rover Range Rover Velar 2.0 S Petrol 250,"40,573 km  |  Petrol  |  Hyderabad",Rs. 76 Lakh
