title,distance,prices
2020 MG Hector Sharp 2.0 Diesel [2019-2020],"72,960 km  |  Diesel  |  Hyderabad",Rs. 14.88 Lakh
2013 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"87,581 km  |  Petrol  |  Hyderabad",Rs. 3.98 Lakh
2019 Renault Kwid CLIMBER 1.0,"59,908 km  |  Petrol  |  Hyderabad",Rs. 4 Lakh
2013 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"66,986 km  |  Petrol  |  Hyderabad",Rs. 3.99 Lakh
2020 Renault Duster RXZ 1.3 Turbo Petrol MT [2020-2021],"1,05,400 km  |  Petrol  |  Hyderabad",Rs. 10.59 Lakh
2019 Ford EcoSport Titanium + 1.5L TDCi [2019-2020],"1,08,503 km  |  Diesel  |  Hyderabad",Rs. 8.43 Lakh
2014 Maruti Suzuki Stingray VXi,"56,278 km  |  Petrol  |  Hyderabad",Rs. 3.79 Lakh
2013 Hyundai i20 Magna (O) 1.2,"89,224 km  |  Petrol  |  Hyderabad",Rs. 3.99 Lakh
2022 Maruti Suzuki Brezza ZXi,"18,030 km  |  Petrol  |  Hyderabad",Rs. 12.2 Lakh
2012 Maruti Suzuki Alto 800 Lxi CNG,"82,532 km  |  CNG  |  Hyderabad",Rs. 2.44 Lakh
2015 Hyundai i10 Sportz 1.1 iRDE2 [2010--2017],"93,506 km  |  Petrol  |  Hyderabad",Rs. 3.38 Lakh
2018 Datsun GO T [2018-2019],"67,412 km  |  Petrol  |  Hyderabad",Rs. 3.21 Lakh
2021 Skoda Rapid TSI Style,"15,410 km  |  Petrol  |  Hyderabad",Rs. 9.68 Lakh
2021 Honda WR-V VX MT Diesel,"77,687 km  |  Diesel  |  Hyderabad",Rs. 10.22 Lakh
2012 Hyundai i10 Magna 1.2 Kappa2,"57,697 km  |  Petrol  |  Hyderabad",Rs. 3.01 Lakh
2013 Maruti Suzuki Wagon R 1.0 VXi,"76,262 km  |  Petrol  |  Hyderabad",Rs. 3.48 Lakh
2012 Hyundai Santro Xing GLS,"45,430 km  |  Petrol  |  Hyderabad",Rs. 2.85 Lakh
2016 Maruti Suzuki Alto 800 LXi (O),"60,473 km  |  Petrol  |  Hyderabad",Rs. 2.28 Lakh
