title,distance,prices
2017 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],"45,414 km  |  Petrol  |  Navi Mumbai",Rs. 12.5 Lakh
2020 BMW X1 sDrive20d xLine,"19,000 km  |  Diesel  |  Navi Mumbai",Rs. 33 Lakh
2020 Kia Seltos HTK 1.5 [2020-2021],"34,000 km  |  Petrol  |  Navi Mumbai",Rs. 10.49 Lakh
2012 Maruti Suzuki Swift VDi,"90,000 km  |  Diesel  |  Navi Mumbai",Rs. 3.99 Lakh
2015 BMW 3 Series 320d Luxury Line,"44,000 km  |  Diesel  |  Navi Mumbai",Rs. 17.5 Lakh
2022 Toyota Fortuner 4X4 MT 2.8 Diesel,"7,200 km  |  Diesel  |  Navi Mumbai",Rs. 42.95 Lakh
2016 Maruti Suzuki Wagon R 1.0 LXI CNG (O),"59,000 km  |  CNG  |  Navi Mumbai",Rs. 3.99 Lakh
2015 Renault Duster 85 PS RxE Diesel,"59,000 km  |  Diesel  |  Navi Mumbai",Rs. 5.99 Lakh
2020 Tata Tiago Revotron XZA [2017-2019],"47,000 km  |  Petrol  |  Navi Mumbai",Rs. 5.79 Lakh
2018 Maruti Suzuki Baleno Zeta,"39,000 km  |  Petrol  |  Navi Mumbai",Rs. 6.29 Lakh
2014 Audi A8 L 3.0 TDI quattro,"49,000 km  |  Diesel  |  Navi Mumbai",Rs. 23 Lakh
2022 Maruti Suzuki Wagon R LXi 1.0 CNG,"21,000 km  |  CNG  |  Navi Mumbai",Rs. 6.39 Lakh
2011 BMW 5 Series 520d Sedan,"99,000 km  |  Diesel  |  Navi Mumbai",Rs. 12.49 Lakh
2020 Jeep Compass Limited Plus Petrol AT,"19,000 km  |  Petrol  |  Navi Mumbai",Rs. 17.75 Lakh
2018 Volkswagen Tiguan Highline TDI,"57,000 km  |  Diesel  |  Navi Mumbai",Rs. 21 Lakh
2014 Audi Q3 2.0 TDI quattro Premium Plus,"60,000 km  |  Diesel  |  Navi Mumbai",Rs. 15.75 Lakh
2015 Hyundai Elite i20 Sportz 1.4,"76,000 km  |  Diesel  |  Navi Mumbai",Rs. 5.99 Lakh
2018 Maruti Suzuki Wagon R 1.0 LXI CNG (O),"47,000 km  |  CNG  |  Navi Mumbai",Rs. 4.29 Lakh
2022 Tata Tigor XZ Plus CNG [2022-2023],"4,400 km  |  CNG  |  Navi Mumbai",Rs. 7.99 Lakh
2022 Tata Tiago XZA Plus [2020-2023],"42,000 km  |  Petrol  |  Navi Mumbai",Rs. 6.29 Lakh
2020 Maruti Suzuki S-Presso VXi (O) AMT,"14,769 km  |  Petrol  |  Navi Mumbai",Rs. 4.85 Lakh
2016 Hyundai i20 Active 1.2 S,"97,000 km  |  Petrol  |  Navi Mumbai",Rs. 5.79 Lakh
2014 Maruti Suzuki Swift DZire VXI,"42,000 km  |  Petrol  |  Navi Mumbai",Rs. 4.49 Lakh
2016 Volkswagen Ameo Highline1.2L (P) [2016-2018],"39,808 km  |  Petrol  |  Navi Mumbai",Rs. 5.25 Lakh
2015 Skoda Rapid 1.6 MPI Style Plus Black Package AT,"49,000 km  |  Petrol  |  Navi Mumbai",Rs. 5.25 Lakh
2015 BMW 3 Series 320d Prestige,"28,000 km  |  Diesel  |  Navi Mumbai",Rs. 16.57 Lakh
2022 Maruti Suzuki Brezza ZXi Plus [2022-2023],"35,211 km  |  Petrol  |  Navi Mumbai",Rs. 10.95 Lakh
2015 Mercedes-Benz E-Class E200 CGI Blue Efficiency,"5,50,000 km  |  Petrol  |  Navi Mumbai",Rs. 18.25 Lakh
