title,distance,prices
2020 Maruti Suzuki Dzire VXi [2020-2023],"50,960 km  |  Petrol  |  Navi Mumbai",Rs. 6.1 Lakh
2017 Renault Kwid CLIMBER 1.0 AMT [2017-2019],"56,529 km  |  Petrol  |  Navi Mumbai",Rs. 3.35 Lakh
2019 Hyundai Santro Asta [2018-2020],"17,696 km  |  Petrol  |  Navi Mumbai",Rs. 4.54 Lakh
2019 Hyundai Verna 1.6 VTVT SX (O),"1,09,167 km  |  Petrol  |  Navi Mumbai",Rs. 8.69 Lakh
2015 Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],"64,533 km  |  Petrol  |  Navi Mumbai",Rs. 4.43 Lakh
2015 Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],"64,533 km  |  Petrol  |  Navi Mumbai",Rs. 4.43 Lakh
2017 Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],"14,442 km  |  Petrol  |  Navi Mumbai",Rs. 5.09 Lakh
2013 Toyota Corolla Altis 1.8 G,"90,192 km  |  Petrol  |  Navi Mumbai",Rs. 4.14 Lakh
2018 Hyundai Eon Magna +,"17,698 km  |  Petrol  |  Navi Mumbai",Rs. 3.54 Lakh
2020 Hyundai Aura SX 1.2 (O) Petrol,"22,504 km  |  Petrol  |  Navi Mumbai",Rs. 6.61 Lakh
2019 Hyundai Xcent SX 1.2,"26,231 km  |  Petrol  |  Navi Mumbai",Rs. 5.99 Lakh
2014 Toyota Etios Liva G,"34,977 km  |  Petrol  |  Navi Mumbai",Rs. 3.28 Lakh
2016 Maruti Suzuki Baleno Zeta 1.2,"70,308 km  |  Petrol  |  Navi Mumbai",Rs. 4.89 Lakh
2020 Maruti Suzuki Baleno Zeta Dualjet,"20,768 km  |  Petrol  |  Navi Mumbai",Rs. 7.37 Lakh
2017 Hyundai Creta 1.6 SX Plus AT,"54,762 km  |  Diesel  |  Navi Mumbai",Rs. 11.99 Lakh
2019 Hyundai Venue SX Plus 1.0 Turbo DCT,"22,770 km  |  Petrol  |  Navi Mumbai",Rs. 10.12 Lakh
2017 Maruti Suzuki Baleno Alpha 1.2,"54,460 km  |  Petrol  |  Navi Mumbai",Rs. 6.1 Lakh
2019 Maruti Suzuki Wagon R 1.0 LXI CNG,"78,589 km  |  CNG  |  Navi Mumbai",Rs. 5.13 Lakh
2011 Skoda Fabia Ambiente 1.2 MPI,"99,719 km  |  Petrol  |  Navi Mumbai",Rs. 2.1 Lakh
2018 Hyundai Elite i20 Asta 1.2,"62,916 km  |  Petrol  |  Navi Mumbai",Rs. 6.24 Lakh
2021 Renault Kiger RXZ 1.0 Turbo MT Dual Tone,"10,141 km  |  Petrol  |  Navi Mumbai",Rs. 8.23 Lakh
2021 Datsun redi-GO A,500 km  |  Petrol  |  Navi Mumbai,Rs. 3.49 Lakh
2016 Hyundai Creta 1.6 SX,"78,966 km  |  Diesel  |  Navi Mumbai",Rs. 9.29 Lakh
2014 Maruti Suzuki Swift DZire VXI,"60,346 km  |  Petrol  |  Navi Mumbai",Rs. 3.81 Lakh
2015 Volkswagen Polo Comfortline 1.2L (P),"77,236 km  |  Petrol  |  Navi Mumbai",Rs. 4.4 Lakh
2016 Hyundai Creta 1.6 SX Plus AT Petrol,"42,136 km  |  Petrol  |  Navi Mumbai",Rs. 8.74 Lakh
2018 Honda WR-V VX MT Petrol,"47,685 km  |  Petrol  |  Navi Mumbai",Rs. 7.17 Lakh
2021 Nissan Magnite XV Premium Turbo (O) CVT [2020-2022],"24,631 km  |  Petrol  |  Navi Mumbai",Rs. 9.39 Lakh
2018 Maruti Suzuki Wagon R 1.0 LXI CNG,"48,212 km  |  CNG  |  Navi Mumbai",Rs. 4.39 Lakh
2020 Honda Civic ZX CVT Petrol,"35,425 km  |  Petrol  |  Navi Mumbai",Rs. 15.95 Lakh
2019 Honda City V,"38,526 km  |  Petrol  |  Navi Mumbai",Rs. 8.1 Lakh
2022 Maruti Suzuki Wagon R 1.0 VXI,"3,430 km  |  Petrol  |  Navi Mumbai",Rs. 5.94 Lakh
2020 Maruti Suzuki Swift ZXi Plus AMT [2018-2019],"32,938 km  |  Petrol  |  Navi Mumbai",Rs. 7.34 Lakh
2016 Maruti Suzuki Ciaz ZXi,"70,160 km  |  Petrol  |  Navi Mumbai",Rs. 5.78 Lakh
2013 Maruti Suzuki Ritz Zxi BS-IV,"57,961 km  |  Petrol  |  Navi Mumbai",Rs. 3.1 Lakh
2018 Ford EcoSport Titanium + 1.5L Ti-VCT AT [2019-2020],"26,012 km  |  Petrol  |  Navi Mumbai",Rs. 7.47 Lakh
2016 Maruti Suzuki Ciaz ZXI+,"85,574 km  |  Petrol  |  Navi Mumbai",Rs. 5.69 Lakh
2021 Tata Nexon XMA (S) Diesel [2020-2023],"39,812 km  |  Diesel  |  Navi Mumbai",Rs. 10.27 Lakh
2017 Maruti Suzuki Swift ZXi,"18,818 km  |  Petrol  |  Navi Mumbai",Rs. 5.28 Lakh
2014 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"40,616 km  |  Petrol  |  Navi Mumbai",Rs. 3.94 Lakh
2019 Maruti Suzuki Baleno Zeta Dualjet,"31,537 km  |  Petrol  |  Navi Mumbai",Rs. 6.64 Lakh
2021 Honda Amaze VX CVT 1.2 Petrol [2021],"8,360 km  |  Petrol  |  Navi Mumbai",Rs. 8.3 Lakh
2017 Honda WR-V VX MT Diesel,"78,760 km  |  Diesel  |  Navi Mumbai",Rs. 7.14 Lakh
2014 Maruti Suzuki Ertiga Vxi,"53,369 km  |  Petrol  |  Navi Mumbai",Rs. 5.77 Lakh
2022 Maruti Suzuki Swift VXi [2021-2023],"6,620 km  |  Petrol  |  Navi Mumbai",Rs. 6.97 Lakh
2022 Hyundai i20 Sportz 1.2 MT [2020-2023],"18,775 km  |  Petrol  |  Navi Mumbai",Rs. 7.84 Lakh
2022 Maruti Suzuki Swift ZXi Plus [2021-2023],"26,435 km  |  Petrol  |  Navi Mumbai",Rs. 7.7 Lakh
2019 Maruti Suzuki XL6 Alpha AT Petrol,"79,051 km  |  Petrol  |  Navi Mumbai",Rs. 9.88 Lakh
2018 Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],"5,719 km  |  Petrol  |  Navi Mumbai",Rs. 5.17 Lakh
2022 Hyundai Grand i10 Nios Asta 1.2 Kappa VTVT,"23,748 km  |  Petrol  |  Navi Mumbai",Rs. 6.85 Lakh
2021 Honda City 4th Generation ZX CVT Petrol,"16,834 km  |  Petrol  |  Navi Mumbai",Rs. 12.27 Lakh
2017 Maruti Suzuki Wagon R 1.0 LXI CNG,"32,690 km  |  CNG  |  Navi Mumbai",Rs. 4.49 Lakh
2019 Kia Seltos HTK Plus 1.5 [2019-2020],"43,400 km  |  Petrol  |  Navi Mumbai",Rs. 10.71 Lakh
2019 Kia Seltos HTK Plus 1.5 [2019-2020],"43,400 km  |  Petrol  |  Navi Mumbai",Rs. 10.71 Lakh
2017 Hyundai Creta 1.6 SX Plus AT Petrol,"73,702 km  |  Petrol  |  Navi Mumbai",Rs. 9.67 Lakh
2021 Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,"25,060 km  |  Petrol  |  Navi Mumbai",Rs. 6.74 Lakh
