title,distance,prices
2019 Honda Jazz VX CVT Petrol,"35,563 km  |  Petrol  |  Pune",Rs. 7.9 Lakh
2017 Maruti Suzuki Ciaz Alpha 1.4 AT,"56,670 km  |  Petrol  |  Pune",Rs. 7.11 Lakh
2021 Kia Sonet GTX Plus 1.0 DCT [2020-2021],"13,578 km  |  Petrol  |  Pune",Rs. 13.5 Lakh
2017 Tata Hexa XT 4x2 7 STR,"1,35,461 km  |  Diesel  |  Pune",Rs. 9.35 Lakh
2018 Toyota Innova Crysta 2.4 VX 8 STR [2016-2020],"2,05,384 km  |  Diesel  |  Pune",Rs. 17.5 Lakh
2015 Toyota Etios Liva VX,"35,465 km  |  Petrol  |  Pune",Rs. 5.4 Lakh
2013 Hyundai i10 Magna 1.2 Kappa2,"62,243 km  |  Petrol  |  Pune",Rs. 3.4 Lakh
2011 Hyundai i10 Sportz 1.2 AT Kappa2,"90,445 km  |  Petrol  |  Pune",Rs. 2.95 Lakh
2017 Maruti Suzuki Swift Dzire ZDI AMT,"62,044 km  |  Diesel  |  Pune",Rs. 8.5 Lakh
2010 Hyundai i10 Magna 1.2,"62,798 km  |  Petrol  |  Pune",Rs. 2.3 Lakh
2016 Toyota Innova 2.5 G BS IV 8 STR,"1,11,862 km  |  Diesel  |  Pune",Rs. 10.75 Lakh
2022 Mercedes-Benz GLC 200 Progressive,"15,710 km  |  Petrol  |  Pune",Rs. 58.5 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"9,000 km  |  Diesel  |  Pune",Rs. 17.5 Lakh
2017 Land Rover Discovery Sport HSE Luxury,"47,200 km  |  Diesel  |  Pune",Rs. 40.5 Lakh
2020 Hyundai Aura SX Plus 1.2 AMT Petrol,"25,135 km  |  Petrol  |  Pune",Rs. 7.6 Lakh
2016 Tata Tiago Revotorq XZ [2016-2019],"53,186 km  |  Diesel  |  Pune",Rs. 4.8 Lakh
2014 Honda City VX Diesel,"1,18,421 km  |  Diesel  |  Pune",Rs. 6.25 Lakh
2011 Tata Manza Elan Safire BS-IV,"1,30,719 km  |  Petrol  |  Pune",Rs. 1.9 Lakh
2020 Maruti Suzuki Swift ZXi,"52,677 km  |  Petrol  |  Pune",Rs. 7.25 Lakh
2016 Hyundai Elite i20 Asta 1.2 [2016-2017],"45,655 km  |  Petrol  |  Pune",Rs. 6.55 Lakh
2022 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],"18,000 km  |  Petrol  |  Pune",Rs. 84 Lakh
2022 Hyundai i20 Asta 1.2 IVT Dual Tone,"6,544 km  |  Petrol  |  Pune",Rs. 10.25 Lakh
2021 Mahindra Thar LX Convertible Petrol AT,"18,600 km  |  Petrol  |  Pune",Rs. 14.5 Lakh
2014 Maruti Suzuki Swift VXi,"60,778 km  |  Petrol  |  Pune",Rs. 4.25 Lakh
2017 Honda WR-V VX MT Diesel,"68,270 km  |  Diesel  |  Pune",Rs. 7.75 Lakh
2022 Hyundai Creta Facelift 1.5 Petrol CVT,"22,000 km  |  Petrol  |  Pune",Rs. 17.5 Lakh
2022 BMW 6 Series GT 620d Luxury Line [2019-2019],"7,000 km  |  Diesel  |  Pune",Rs. 76 Lakh
2021 BMW 5 Series 520d Luxury Line [2017-2019],"25,560 km  |  Diesel  |  Pune",Rs. 57.75 Lakh
2015 Audi A3 35 TDI Premium + Sunroof,"91,241 km  |  Diesel  |  Pune",Rs. 13.5 Lakh
2022 Tata Safari XZA Plus,"10,314 km  |  Diesel  |  Pune",Rs. 23.65 Lakh
2012 Hyundai i20 Sportz 1.2 BS-IV,"51,967 km  |  Petrol  |  Pune",Rs. 3.5 Lakh
2020 BMW X7 xDrive30d DPE Signature [2019-2020],"34,567 km  |  Diesel  |  Pune",Rs. 1.05 Crore
2022 Tata Nexon XM (S) [2020-2023],"8,867 km  |  Petrol  |  Pune",Rs. 9.18 Lakh
2019 Maruti Suzuki Dzire VDi,"90,807 km  |  Diesel  |  Pune",Rs. 8.25 Lakh
2021 BMW 5 Series 520d Luxury Line [2017-2019],"34,000 km  |  Diesel  |  Pune",Rs. 65 Lakh
2018 Toyota Innova Crysta 2.4 G 7 STR [2016-2017],"32,000 km  |  Diesel  |  Pune",Rs. 19.5 Lakh
2022 Toyota Camry Hybrid,"20,601 km  |  Hybrid  |  Pune",Rs. 41.75 Lakh
2014 BMW 7 Series 730Ld,"1,33,400 km  |  Diesel  |  Pune",Rs. 28 Lakh
2018 Audi Q3 35 TDI quattro Premium Plus,"69,000 km  |  Diesel  |  Pune",Rs. 23 Lakh
