title,distance,prices
2022 Maruti Suzuki Celerio ZXi Plus [2021-2023],"8,442 km  |  Petrol  |  Pune",Rs. 6.37 Lakh
2022 Maruti Suzuki Celerio ZXi Plus [2021-2023],"3,337 km  |  Petrol  |  Pune",Rs. 6.57 Lakh
2022 Maruti Suzuki Vitara Brezza ZXI Plus Dual Tone,"28,624 km  |  Petrol  |  Pune",Rs. 9.44 Lakh
2021 Honda City V,"16,192 km  |  Petrol  |  Pune",Rs. 11.9 Lakh
2016 Mercedes-Benz GLA 200 d Sport,"61,000 km  |  Diesel  |  Pune",Rs. 19.75 Lakh
2019 Mercedes-Benz GLA 200 Sport,"22,300 km  |  Petrol  |  Pune",Rs. 27.5 Lakh
2021 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"18,000 km  |  Diesel  |  Pune",Rs. 48.5 Lakh
2022 Toyota Fortuner 4X4 AT 2.8 Diesel,"2,40,000 km  |  Diesel  |  Pune",Rs. 45 Lakh
2018 Honda Jazz S MT [2015-2016],"8,752 km  |  Petrol  |  Pune",Rs. 7.4 Lakh
2022 Honda All New City ZX CVT Petrol,"13,662 km  |  Petrol  |  Pune",Rs. 15.9 Lakh
2022 Mercedes-Benz S-Class (W222) S 350D [2018-2020],"16,000 km  |  Diesel  |  Pune",Rs. 1.6 Crore
2011 Mercedes-Benz E-Class E350 CDI Avantgarde,"1,00,000 km  |  Diesel  |  Pune",Rs. 11.5 Lakh
2022 Renault Kwid RXT 1.0,"8,982 km  |  Petrol  |  Pune",Rs. 4.85 Lakh
2022 Renault Kwid RXT 1.0 AMT,"15,342 km  |  Petrol  |  Pune",Rs. 5.25 Lakh
2019 Hyundai Verna SX (O) AT Anniversary Edition 1.6 VTVT,"30,116 km  |  Petrol  |  Pune",Rs. 9.82 Lakh
2017 Honda City 4th Generation VX CVT Petrol,"68,423 km  |  Petrol  |  Pune",Rs. 8.03 Lakh
2018 Tata Tigor Revotron XZ (O),"28,030 km  |  Petrol  |  Pune",Rs. 6.24 Lakh
2012 Hyundai i20 Magna (O) 1.2,"42,545 km  |  Petrol  |  Pune",Rs. 3.75 Lakh
