title,distance,prices
2021 BMW 5 Series 530i M Sport [2019-2019],"9,000 km  |  Petrol  |  Chandigarh",Rs. 64.5 Lakh
2013 Mercedes-Benz M-Class ML 250 CDI,"1,15,000 km  |  Diesel  |  Chandigarh",Rs. 18.5 Lakh
2017 Maruti Suzuki Swift Dzire VXI,"21,000 km  |  Petrol  |  Chandigarh",Rs. 5.75 Lakh
2018 Maruti Suzuki Celerio ZXi [2017-2019],"16,000 km  |  Petrol  |  Chandigarh",Rs. 4.95 Lakh
2016 Audi Q3 35 TDI Premium Plus + Sunroof,"86,000 km  |  Diesel  |  Chandigarh",Rs. 17.5 Lakh
2021 Tata Nexon XZA Plus (S) [2022-2023],"44,000 km  |  Petrol  |  Chandigarh",Rs. 10.2 Lakh
2019 Renault Kwid CLIMBER 1.0 AMT,"14,000 km  |  Petrol  |  Chandigarh",Rs. 4.45 Lakh
2013 Hyundai Eon Magna [2011-2012],"72,000 km  |  Petrol  |  Chandigarh",Rs. 2.45 Lakh
2013 Audi A6 2.0 TDI Premium,"86,000 km  |  Diesel  |  Chandigarh",Rs. 12.95 Lakh
2018 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],"1,12,000 km  |  Diesel  |  Chandigarh",Rs. 16.25 Lakh
2013 BMW X3 xDrive20d,"72,000 km  |  Diesel  |  Chandigarh",Rs. 14.25 Lakh
2019 Hyundai Santro Magna AMT [2018-2020],"16,000 km  |  Petrol  |  Chandigarh",Rs. 5.25 Lakh
2013 Hyundai Verna Fluidic 1.6 CRDi SX AT,"95,000 km  |  Diesel  |  Chandigarh",Rs. 4.85 Lakh
2021 Hyundai Venue SX 1.0 Turbo,"13,000 km  |  Petrol  |  Chandigarh",Rs. 9.85 Lakh
2016 Ford Endeavour Titanium 3.2 4x4 AT,"80,000 km  |  Diesel  |  Chandigarh",Rs. 22.5 Lakh
2010 Honda City 1.5 S MT,"92,000 km  |  Petrol  |  Chandigarh",Rs. 3.2 Lakh
2015 Audi Q3 35 TDI Premium Plus,"83,000 km  |  Diesel  |  Chandigarh",Rs. 15.25 Lakh
2015 Maruti Suzuki Alto K10 VXi AMT [2014-2018],"89,000 km  |  Petrol  |  Chandigarh",Rs. 3.45 Lakh
2019 Jeep Compass Limited 2.0 Diesel [2017-2020],"58,000 km  |  Diesel  |  Chandigarh",Rs. 12.5 Lakh
2018 Maruti Suzuki S-Cross Zeta 1.3,"70,000 km  |  Diesel  |  Chandigarh",Rs. 7.25 Lakh
