title,distance,prices
2018 Maruti Suzuki Wagon R VXi 1.0 [2019-2019],"34,124 km  |  Petrol  |  Kolkata",Rs. 3.95 Lakh
2023 Kia Seltos HTX 1.5 CVT,"6,300 km  |  Petrol  |  Kolkata",Rs. 14.5 Lakh
2012 Rolls-Royce Ghost 6.5,"30,000 km  |  Petrol  |  Kolkata",Rs. 2.15 Crore
2017 Maruti Suzuki Swift Dzire VXI,"25,000 km  |  Petrol  |  Kolkata",Rs. 4.65 Lakh
2021 Jaguar F-Pace S R-Dynamic 2.0 Diesel [2021-2023],"6,000 km  |  Diesel  |  Kolkata",Rs. 62 Lakh
2022 Volkswagen Tiguan Elegance 2.0 TSI DSG [2021],"7,000 km  |  Petrol  |  Kolkata",Rs. 12.75 Lakh
2021 BMW 7 Series 730Ld DPE Signature,"6,500 km  |  Diesel  |  Kolkata",Rs. 94 Lakh
2022 Renault Triber RXZ EASY-R AMT,"20,807 km  |  Petrol  |  Kolkata",Rs. 7.1 Lakh
2019 Audi S5 Sportback 3.0 TFSI Quattro,"29,000 km  |  Petrol  |  Kolkata",Rs. 40 Lakh
2012 Toyota Fortuner 3.0 4x4 MT,"97,011 km  |  Diesel  |  Kolkata",Rs. 12 Lakh
2018 Mercedes-Benz CLA 200 D Urban Sport,"47,453 km  |  Diesel  |  Kolkata",Rs. 20.99 Lakh
2020 Maruti Suzuki XL6 Alpha MT Petrol,"45,000 km  |  Petrol  |  Kolkata",Rs. 7.95 Lakh
2014 Toyota Fortuner 3.0 4x4 MT,"73,159 km  |  Diesel  |  Kolkata",Rs. 12.75 Lakh
