title,distance,prices
2013 Toyota Etios G,"35,000 km  |  Petrol  |  Kolkata",Rs. 2.95 Lakh
2015 Maruti Suzuki Swift VXi,"48,117 km  |  Petrol  |  Kolkata",Rs. 3.3 Lakh
2015 Maruti Suzuki Swift VXi,"48,117 km  |  Petrol  |  Kolkata",Rs. 3.3 Lakh
2010 Honda Accord 2.4 Elegance MT,"87,000 km  |  Petrol  |  Kolkata",Rs. 3 Lakh
2011 BMW 3 Series 320d,"29,000 km  |  Diesel  |  Kolkata",Rs. 6.25 Lakh
2010 Mercedes-Benz C-Class 220 CDI Elegance AT,"56,000 km  |  Diesel  |  Kolkata",Rs. 5.35 Lakh
2012 Volkswagen Polo Comfortline 1.2L (D),"58,000 km  |  Diesel  |  Kolkata",Rs. 2.45 Lakh
2012 Chevrolet Beat LS Petrol,"62,000 km  |  Petrol  |  Kolkata",Rs. 1.35 Lakh
2018 Renault Kwid 1.0 RXT [2016-2019],"17,405 km  |  Petrol  |  Kolkata",Rs. 3.3 Lakh
2014 Ford EcoSport Titanium 1.5 TDCi (Opt),"57,143 km  |  Diesel  |  Kolkata",Rs. 3.8 Lakh
2009 Hyundai Santro Xing GLS,"56,431 km  |  Petrol  |  Kolkata","Rs. 85,000"
2015 Honda Amaze 1.2 S i-VTEC,"47,110 km  |  Petrol  |  Kolkata",Rs. 3 Lakh
2014 Maruti Suzuki Ciaz VXi,"47,011 km  |  Petrol  |  Kolkata",Rs. 3.3 Lakh
2017 Hyundai Xcent E CRDi,"48,751 km  |  Diesel  |  Kolkata",Rs. 3.5 Lakh
2015 Skoda Superb Elegance TSI MT,"52,000 km  |  Petrol  |  Kolkata",Rs. 7 Lakh
2019 Maruti Suzuki Baleno Zeta 1.2,"54,551 km  |  Petrol  |  Kolkata",Rs. 6 Lakh
2017 Maruti Suzuki Ertiga VXI,"59,000 km  |  Petrol  |  Kolkata",Rs. 6.49 Lakh
2011 Honda City 1.5 S MT,"88,650 km  |  Petrol  |  Kolkata",Rs. 2.18 Lakh
2016 Hyundai Xcent S 1.2,"49,027 km  |  Petrol  |  Kolkata",Rs. 3.91 Lakh
2011 Hyundai Verna Fluidic 1.4 VTVT,"21,308 km  |  Petrol  |  Kolkata",Rs. 2.98 Lakh
2022 Tata Tiago NRG XZ AMT [2021-2023],"11,468 km  |  Petrol  |  Kolkata",Rs. 6.55 Lakh
2014 Maruti Suzuki Swift VXi,"46,480 km  |  Petrol  |  Kolkata",Rs. 3.43 Lakh
2016 Honda City V,"66,302 km  |  Petrol  |  Kolkata",Rs. 4.53 Lakh
2018 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],"50,308 km  |  Petrol  |  Kolkata",Rs. 4.17 Lakh
2012 Maruti Suzuki Ertiga ZXi,"80,724 km  |  Petrol  |  Kolkata",Rs. 4.24 Lakh
