title,distance,prices
2020 Kia Seltos GTX Plus 1.4 DCT,"69,950 km  |  Petrol  |  Ahmedabad",Rs. 13.5 Lakh
2022 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"7,200 km  |  Diesel  |  Ahmedabad",Rs. 71 Lakh
2022 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"4,900 km  |  Diesel  |  Ahmedabad",Rs. 71.25 Lakh
2020 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],"44,000 km  |  Petrol  |  Ahmedabad",Rs. 55 Lakh
2022 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"5,800 km  |  Diesel  |  Ahmedabad",Rs. 71 Lakh
2023 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],"4,100 km  |  Petrol  |  Ahmedabad",Rs. 70.25 Lakh
2022 Mercedes-Benz EQS 580 4MATIC,"1,500 km  |  Electric  |  Ahmedabad",Rs. 1.35 Crore
2021 Mercedes-Benz GLB 220d Progressive Line [2022-2023],"9,300 km  |  Diesel  |  Ahmedabad",Rs. 56.25 Lakh
2016 Mercedes-Benz GLC 220 d Progressive,"1,38,381 km  |  Diesel  |  Ahmedabad",Rs. 38 Lakh
2022 Mercedes-Benz AMG GLA35 4MATIC,"4,100 km  |  Petrol  |  Ahmedabad",Rs. 55.25 Lakh
2020 MG Hector Super 1.5 Petrol,"5,775 km  |  Petrol  |  Ahmedabad",Rs. 12 Lakh
2016 Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [2017-2018],"44,904 km  |  Diesel  |  Ahmedabad",Rs. 7.12 Lakh
2020 Maruti Suzuki Celerio ZXi,"49,316 km  |  Petrol  |  Ahmedabad",Rs. 4.84 Lakh
2022 Mercedes-Benz EQB 300 4MATIC,"9,000 km  |  Electric  |  Ahmedabad",Rs. 69.25 Lakh
2021 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"35,200 km  |  Diesel  |  Ahmedabad",Rs. 43 Lakh
2022 Mercedes-Benz EQS 580 4MATIC,"8,700 km  |  Electric  |  Ahmedabad",Rs. 1.4 Crore
2019 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"33,200 km  |  Diesel  |  Ahmedabad",Rs. 44 Lakh
2020 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"39,200 km  |  Diesel  |  Ahmedabad",Rs. 51 Lakh
2023 Mercedes-Benz C-Class C 300d,"3,600 km  |  Diesel  |  Ahmedabad",Rs. 62.75 Lakh
2023 Mercedes-Benz C-Class C 200,"3,200 km  |  Petrol  |  Ahmedabad",Rs. 56.7 Lakh
2023 Mercedes-Benz GLA 220d [2021-2023],"6,100 km  |  Diesel  |  Ahmedabad",Rs. 50.25 Lakh
2021 Mercedes-Benz C-Class C200 Progressive,"25,800 km  |  Petrol  |  Ahmedabad",Rs. 41.5 Lakh
2022 Mercedes-Benz AMG A45 S 4Matic Plus,"2,200 km  |  Petrol  |  Ahmedabad",Rs. 80.25 Lakh
2022 Mercedes-Benz S-Class (W222) S 350D [2018-2020],"15,500 km  |  Diesel  |  Ahmedabad",Rs. 1.35 Crore
