title,distance,prices
2015 Honda City V Diesel,"1,08,823 km  |  Diesel  |  Ahmedabad",Rs. 5.41 Lakh
2015 Hyundai Verna Fluidic 1.6 CRDi SX Opt,"1,01,435 km  |  Diesel  |  Ahmedabad",Rs. 5.8 Lakh
2019 Hyundai Santro Sportz AMT [2018-2020],"49,612 km  |  Petrol  |  Ahmedabad",Rs. 4.42 Lakh
2021 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"17,563 km  |  Diesel  |  Ahmedabad",Rs. 19.8 Lakh
2017 Mahindra XUV500 W10 AWD AT,"79,105 km  |  Diesel  |  Ahmedabad",Rs. 9.81 Lakh
2022 Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],"35,804 km  |  Petrol  |  Ahmedabad",Rs. 8.47 Lakh
2016 Honda Jazz VX Petrol,"34,830 km  |  Petrol  |  Ahmedabad",Rs. 4.37 Lakh
2021 Hyundai Venue SX Plus 1.0 Turbo DCT Dual Tone [2020-2020],"21,620 km  |  Petrol  |  Ahmedabad",Rs. 10.72 Lakh
2016 Maruti Suzuki Baleno Delta 1.2,"88,677 km  |  Petrol  |  Ahmedabad",Rs. 4.62 Lakh
2017 Honda BR-V S Petrol,"88,419 km  |  Petrol  |  Ahmedabad",Rs. 6.57 Lakh
2018 Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],"57,258 km  |  Petrol  |  Ahmedabad",Rs. 6.92 Lakh
2019 Maruti Suzuki S-Presso VXi Plus,"26,695 km  |  Petrol  |  Ahmedabad",Rs. 4.29 Lakh
2019 Jeep Compass Longitude (O) 1.4 Petrol AT [2019-2020],"46,726 km  |  Petrol  |  Ahmedabad",Rs. 13.29 Lakh
2020 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"37,311 km  |  Petrol  |  Ahmedabad",Rs. 13.23 Lakh
2018 Maruti Suzuki Baleno Zeta,"39,746 km  |  Petrol  |  Ahmedabad",Rs. 5.7 Lakh
2019 Hyundai Xcent S AT,"37,610 km  |  Petrol  |  Ahmedabad",Rs. 5.93 Lakh
2021 Hyundai i20 Asta 1.0 Turbo DCT,"16,735 km  |  Petrol  |  Ahmedabad",Rs. 9.06 Lakh
2017 Maruti Suzuki Ciaz Zeta 1.4 AT,"54,332 km  |  Petrol  |  Ahmedabad",Rs. 6.78 Lakh
2016 Maruti Suzuki Swift Dzire VDI,"1,04,281 km  |  Diesel  |  Ahmedabad",Rs. 4.59 Lakh
2021 Tata Safari XZ Plus,"45,969 km  |  Diesel  |  Ahmedabad",Rs. 17.23 Lakh
2021 Hyundai Venue SX 1.0 Turbo,"28,263 km  |  Petrol  |  Ahmedabad",Rs. 9.26 Lakh
2017 Hyundai Verna 1.6 CRDI S,"98,008 km  |  Diesel  |  Ahmedabad",Rs. 6.32 Lakh
2020 Maruti Suzuki Wagon R VXi 1.0 [2019-2019],"30,099 km  |  Petrol  |  Ahmedabad",Rs. 4.65 Lakh
2016 Hyundai Xcent S 1.2,"57,617 km  |  Petrol  |  Ahmedabad",Rs. 4.92 Lakh
2019 Hyundai Creta SX 1.6 CRDi,"76,092 km  |  Diesel  |  Ahmedabad",Rs. 9.88 Lakh
2022 Nissan Magnite XV Premium Turbo CVT [2020],"10,680 km  |  Petrol  |  Ahmedabad",Rs. 9.27 Lakh
2018 Maruti Suzuki Ignis Alpha 1.2 AMT,"35,904 km  |  Petrol  |  Ahmedabad",Rs. 5.69 Lakh
2022 Tata Tigor XZ CNG [2022-2023],"24,533 km  |  CNG  |  Ahmedabad",Rs. 7.46 Lakh
2022 Tata Harrier XZA Plus,"9,250 km  |  Diesel  |  Ahmedabad",Rs. 21.47 Lakh
