title,distance,prices
2019 Hyundai Creta SX 1.6 AT Petrol,"28,000 km  |  Petrol  |  Chennai",Rs. 12.5 Lakh
2015 Maruti Suzuki Swift VXi,"71,545 km  |  Petrol  |  Chennai",Rs. 4.85 Lakh
2013 Maruti Suzuki Swift VXi,"62,960 km  |  Petrol  |  Chennai",Rs. 4.35 Lakh
2017 Honda WR-V VX MT Diesel,"78,343 km  |  Diesel  |  Chennai",Rs. 7.95 Lakh
2018 Maruti Suzuki Celerio X Zxi (O) AMT [2017-2019],"36,000 km  |  Petrol  |  Chennai",Rs. 4.95 Lakh
2022 Mahindra XUV300 W6 1.2 Petrol AMT [2021],"2,266 km  |  Petrol  |  Chennai",Rs. 10.89 Lakh
2017 Maruti Suzuki Dzire ZXi Plus AMT,"48,365 km  |  Petrol  |  Chennai",Rs. 6.45 Lakh
2013 Honda Brio VX MT,"41,349 km  |  Petrol  |  Chennai",Rs. 3.55 Lakh
2021 Honda Amaze 1.5 VX CVT Diesel,"67,976 km  |  Diesel  |  Chennai",Rs. 8.25 Lakh
2017 Ford Aspire Titanium 1.2 Ti-VCT,"51,945 km  |  Petrol  |  Chennai",Rs. 4.9 Lakh
2011 Honda City 1.5 S MT,"88,370 km  |  Petrol  |  Chennai",Rs. 3.65 Lakh
2019 Audi A3 35 TDI Premium Plus + Sunroof,"23,000 km  |  Diesel  |  Chennai",Rs. 30 Lakh
2016 Mercedes-Benz C-Class C 220 CDI Avantgarde,"43,000 km  |  Diesel  |  Chennai",Rs. 27.5 Lakh
2018 Renault Kwid RXL [2015-2019],"41,655 km  |  Petrol  |  Chennai",Rs. 3.55 Lakh
2019 Maruti Suzuki Swift VXi AMT,"50,512 km  |  Petrol  |  Chennai",Rs. 5.85 Lakh
2022 BMW 2 Series Gran Coupe 220d M Sport [2022-2023],"5,000 km  |  Diesel  |  Chennai",Rs. 45 Lakh
2021 BMW 3 Series Gran Limousine 320Ld Luxury Line,"23,630 km  |  Diesel  |  Chennai",Rs. 53.9 Lakh
2015 Mercedes-Benz M-Class ML 350 CDI,"70,000 km  |  Diesel  |  Chennai",Rs. 33 Lakh
2022 Mahindra XUV700 AX 7 Petrol AT Luxury Pack 7 STR [2021],"17,000 km  |  Petrol  |  Chennai",Rs. 25.9 Lakh
2015 BMW X5 xDrive 30d,"78,000 km  |  Diesel  |  Chennai",Rs. 37.5 Lakh
2021 Hyundai i20 Asta (O) 1.0 Turbo DCT [2020-2023],"27,000 km  |  Petrol  |  Chennai",Rs. 10.5 Lakh
2019 Nissan Kicks XV 1.5 D [2019-2019],"45,700 km  |  Diesel  |  Chennai",Rs. 9.75 Lakh
2019 Kia Seltos GTX AT 1.4,"57,600 km  |  Petrol  |  Chennai",Rs. 14.75 Lakh
2018 Hyundai Verna Fluidic 1.6 VTVT SX,"46,973 km  |  Petrol  |  Chennai",Rs. 8.75 Lakh
2017 Skoda Kodiaq Style 2.0 TDI 4x4 AT,"60,000 km  |  Diesel  |  Chennai",Rs. 27.5 Lakh
2017 Ford Figo Titanium 1.5 Ti-VCT AT,"44,056 km  |  Petrol  |  Chennai",Rs. 4.95 Lakh
2022 Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,"34,000 km  |  Petrol  |  Chennai",Rs. 6.7 Lakh
2022 Hyundai Creta SX 1.5 Diesel [2020-2022],"29,041 km  |  Diesel  |  Chennai",Rs. 17.75 Lakh
2017 Mahindra TUV300 T8,"31,450 km  |  Diesel  |  Chennai",Rs. 8.5 Lakh
2022 Hyundai Creta SX 1.5 Diesel [2020-2022],"29,041 km  |  Diesel  |  Chennai",Rs. 17.75 Lakh
2017 Mahindra TUV300 T8,"31,450 km  |  Diesel  |  Chennai",Rs. 8.5 Lakh
2021 Skoda Kushaq Style 1.0L TSI AT,"27,600 km  |  Petrol  |  Chennai",Rs. 16 Lakh
2023 Hyundai Aura E 1.2 Petrol [2023-2023],"3,000 km  |  Petrol  |  Chennai",Rs. 9 Lakh
2022 Kia Carens Luxury Plus 1.5 Diesel AT 6 STR,"19,000 km  |  Diesel  |  Chennai",Rs. 19.75 Lakh
2021 Hyundai i20 Asta 1.0 Turbo IMT,"30,924 km  |  Petrol  |  Chennai",Rs. 9.2 Lakh
2018 Hyundai Verna EX 1.6 VTVT AT [2017-2018],"23,000 km  |  Petrol  |  Chennai",Rs. 9.75 Lakh
2018 Hyundai Verna SX Plus 1.6 CRDi AT,"30,000 km  |  Diesel  |  Chennai",Rs. 11.25 Lakh
2017 BMW X1 xDrive20d M Sport,"40,000 km  |  Diesel  |  Chennai",Rs. 27 Lakh
2018 Maruti Suzuki Swift VXi [2014-2017],"40,148 km  |  Petrol  |  Chennai",Rs. 5.95 Lakh
2020 Hyundai Venue SX Plus 1.0 Turbo DCT,"40,000 km  |  Petrol  |  Chennai",Rs. 10.6 Lakh
2019 Skoda Rapid Ambition 1.6 MPI AT,"28,700 km  |  Petrol  |  Chennai",Rs. 9 Lakh
2020 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"30,197 km  |  Petrol  |  Chennai",Rs. 16.5 Lakh
2019 Mahindra TUV300 T8 mHAWK100 Dual Tone,"18,000 km  |  Diesel  |  Chennai",Rs. 9.5 Lakh
2019 Mahindra XUV500 W7 AT [2018-2020],"34,000 km  |  Diesel  |  Chennai",Rs. 14.75 Lakh
2020 Mahindra Thar DI 4WD PS BS III,"15,000 km  |  Diesel  |  Chennai",Rs. 16.5 Lakh
2018 Hyundai Creta SX 1.6 AT Petrol,"60,001 km  |  Petrol  |  Chennai",Rs. 11.65 Lakh
2021 Hyundai Santro Sportz AMT,"12,000 km  |  Petrol  |  Chennai",Rs. 6.3 Lakh
2018 Hyundai Elite i20 Magna Plus 1.2 [2019-2020],"73,000 km  |  Petrol  |  Chennai",Rs. 5.75 Lakh
2016 Volkswagen Vento Highline 1.5 (D) AT,"69,000 km  |  Diesel  |  Chennai",Rs. 7.5 Lakh
2018 Hyundai Eon Era +,"10,000 km  |  Petrol  |  Chennai",Rs. 3.9 Lakh
2019 Hyundai Creta SX Plus 1.6  Petrol,"36,000 km  |  Petrol  |  Chennai",Rs. 10.5 Lakh
2017 Hyundai Creta E Plus 1.6 Petrol,"30,000 km  |  Petrol  |  Chennai",Rs. 8.55 Lakh
2016 Skoda Rapid Style 1.6 MPI,"37,000 km  |  Petrol  |  Chennai",Rs. 6.45 Lakh
2017 Hyundai Creta E Plus 1.6 Petrol,"30,000 km  |  Petrol  |  Chennai",Rs. 8.55 Lakh
2016 Skoda Rapid Style 1.6 MPI,"37,000 km  |  Petrol  |  Chennai",Rs. 6.45 Lakh
2018 Maruti Suzuki S-Cross Zeta 1.3,"47,632 km  |  Diesel  |  Chennai",Rs. 9.4 Lakh
2020 Maruti Suzuki Vitara Brezza ZXi,"10,000 km  |  Petrol  |  Chennai",Rs. 10 Lakh
2016 Honda City VX CVT,"83,000 km  |  Petrol  |  Chennai",Rs. 7.25 Lakh
2015 Volkswagen Vento Highline Diesel,"91,000 km  |  Diesel  |  Chennai",Rs. 5.5 Lakh
2020 Toyota Innova Crysta 2.4 ZX 7 STR [2016-2020],"25,000 km  |  Diesel  |  Chennai",Rs. 24.75 Lakh
2022 Renault Triber RXZ [2019-2020],"17,000 km  |  Petrol  |  Chennai",Rs. 7.6 Lakh
2015 Mercedes-Benz GLA 200 CDI Style,"22,500 km  |  Diesel  |  Chennai",Rs. 21.25 Lakh
2016 Volkswagen Polo GT TSI,"45,000 km  |  Petrol  |  Chennai",Rs. 6.45 Lakh
2021 Renault Kiger RXT Turbo CVT,"12,000 km  |  Petrol  |  Chennai",Rs. 8.7 Lakh
2011 Toyota Etios Liva G,"72,001 km  |  Petrol  |  Chennai",Rs. 3.25 Lakh
