title,distance,prices
2016 Maruti Suzuki Baleno Zeta 1.2,"62,525 km  |  Petrol  |  Chennai",Rs. 5.54 Lakh
2012 Hyundai Verna Fluidic 1.6 VTVT SX,"69,778 km  |  Petrol  |  Chennai",Rs. 4.36 Lakh
2018 Honda Amaze 1.2 V CVT Petrol [2018-2020],"36,778 km  |  Petrol  |  Chennai",Rs. 7.62 Lakh
2016 Hyundai Creta SX Plus 1.6  Petrol,"75,268 km  |  Petrol  |  Chennai",Rs. 7.67 Lakh
2018 Maruti Suzuki Swift ZDi AMT [2018-2019],"1,05,418 km  |  Diesel  |  Chennai",Rs. 6.47 Lakh
2016 Ford EcoSport Ambiente 1.5L Ti-VCT,"66,969 km  |  Petrol  |  Chennai",Rs. 5.4 Lakh
2015 Volkswagen Vento Highline Petrol,"71,902 km  |  Petrol  |  Chennai",Rs. 5.27 Lakh
2019 Honda Amaze 1.2 V CVT Petrol [2018-2020],"42,404 km  |  Petrol  |  Chennai",Rs. 7.82 Lakh
2018 Volkswagen Polo Highline Plus 1.0 (P) 16 Alloy,"37,019 km  |  Petrol  |  Chennai",Rs. 6.56 Lakh
2020 Tata Altroz XZ Petrol [2020-2023],"32,010 km  |  Petrol  |  Chennai",Rs. 7.33 Lakh
2017 Tata Tigor Revotron XZ (O),"41,640 km  |  Petrol  |  Chennai",Rs. 4.88 Lakh
2022 Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,"5,454 km  |  Petrol  |  Chennai",Rs. 6.97 Lakh
2016 Hyundai Elite i20 Sportz 1.2 (O),"97,851 km  |  Petrol  |  Chennai",Rs. 5.78 Lakh
2018 Maruti Suzuki Swift ZXi AMT [2018-2019],"66,779 km  |  Petrol  |  Chennai",Rs. 6.4 Lakh
2016 Hyundai Elite i20 Asta 1.2 [2016-2017],"1,15,411 km  |  Petrol  |  Chennai",Rs. 5.99 Lakh
2017 Honda Jazz V AT Petrol,"33,459 km  |  Petrol  |  Chennai",Rs. 6.3 Lakh
2016 Ford EcoSport Titanium+ 1.5L TDCi Black Edition,"75,801 km  |  Diesel  |  Chennai",Rs. 6.24 Lakh
